,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3455,201303455,2013,Landkreis Friesland,31.5,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,54.0,Niedersachsen,NI
3456,199503456,1995,Landkreis Grafschaft Bentheim,92.2,Niedersachsen,NI
3456,200003456,2000,Landkreis Grafschaft Bentheim,49.6,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,43.1,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,-5.5,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,14.9,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,18.900000000000002,Niedersachsen,NI
3457,199503457,1995,Landkreis Leer,119.60000000000001,Niedersachsen,NI
3457,200003457,2000,Landkreis Leer,56.300000000000004,Niedersachsen,NI
3457,200503457,2005,Landkreis Leer,38.1,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,16.6,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,66.0,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,61.900000000000006,Niedersachsen,NI
3458,199503458,1995,Landkreis Oldenburg (Land),165.3,Niedersachsen,NI
3458,200003458,2000,Landkreis Oldenburg (Land),124.80000000000001,Niedersachsen,NI
3458,200503458,2005,Landkreis Oldenburg (Land),49.2,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),65.8,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),54.900000000000006,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),54.7,Niedersachsen,NI
3459,199503459,1995,Landkreis Osnabrück (Land),208.60000000000002,Niedersachsen,NI
3459,200003459,2000,Landkreis Osnabrück (Land),-7.5,Niedersachsen,NI
3459,200503459,2005,Landkreis Osnabrück (Land),2.6,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),-16.5,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),19.1,Niedersachsen,NI
